ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
189;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;11 880,0;2;Xiaomi;золотистый;1;;1
190;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;13 189,0;12;Xiaomi;серебристый;3;;1
191;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;12 155,0;10;Xiaomi;серый;9;;1
192;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;12 650,0;7;Xiaomi;черный;4;;1
193;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;12 067,0;11;Xiaomi;белый;5;;1
194;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;11 880,0;11;Xiaomi;синий;6;;1
195;Мобильные телефоны;361868;Мобильный телефон Samsung Galaxy S5 16GB;8030,0;3;Samsung;;0;;0
196;Мобильные телефоны;361868;Мобильный телефон Samsung Galaxy S5 16GB;7 964,0;2;Samsung;золотистый;1;;0
197;Мобильные телефоны;361868;Мобильный телефон Samsung Galaxy S5 16GB;8 030,0;7;Samsung;черный;4;;0
198;Мобильные телефоны;361868;Мобильный телефон Samsung Galaxy S5 16GB;8 030,0;13;Samsung;белый;5;;0
199;Мобильные телефоны;361868;Мобильный телефон Samsung Galaxy S5 16GB;7 964,0;6;Samsung;синий;6;;0
200;Мобильные телефоны;1132679;Мобильный телефон Huawei Honor 9 64GB/4GB Dual Sim;24046,0;10;Huawei;;0;;4
201;Мобильные телефоны;1132679;Мобильный телефон Huawei Honor 9 64GB/4GB Dual Sim;24 046,0;9;Huawei;серый;9;;4
202;Мобильные телефоны;1132679;Мобильный телефон Huawei Honor 9 64GB/4GB Dual Sim;25 289,0;6;Huawei;черный;4;;4
203;Мобильные телефоны;1132679;Мобильный телефон Huawei Honor 9 64GB/4GB Dual Sim;25 289,0;8;Huawei;синий;6;;4
204;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;9300,5;2;Sony;;0;;5
205;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;10 230,0;15;Sony;розовый;2;;5
206;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;9 300,5;9;Sony;салатовый;12;;5
